Accounting
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
451,AEBI,122,001,Lecture,3.000,"Cell Biology.",MW,01:05 pm-02:25 pm,120,0,0,0,"Fernando  Altamura",01/04-04/11,CENTEN 1-163,Active
,,,,,,,R,01:05 pm-02:25 pm,,,,,"Fernando  Altamura",04/11-04/11,CENTEN 1-163,Active
431,AEBI,211,001,Lecture,3.000,"Organisms 2.",MW,01:05 pm-02:25 pm,114,0,0,0,"Jessica  Head",01/04-04/11,RAYMND 2-046,Active
,,,,,,,R,01:05 pm-02:25 pm,,,,,"Jessica  Head",04/11-04/11,RAYMND 2-046,Active
432,AEBI,211,002,Laboratory,0.000,"Organisms 2.",M,03:35 pm-06:25 pm,38,0,0,0,"Jessica  Head",01/04-04/12,MACSTW B-023,Active
,,,,,,,R,03:35 pm-06:25 pm,,,,,"Jessica  Head",04/11-04/11,MACSTW B-023,Active
447,AEBI,211,003,Laboratory,0.000,"Organisms 2.",T,02:35 pm-05:25 pm,38,0,0,0,"Jessica  Head",01/04-04/12,MACSTW B-023,Active
494,AEBI,211,004,Laboratory,0.000,"Organisms 2.",W,02:35 pm-05:25 pm,38,0,0,0,"Jessica  Head",01/04-04/12,MACSTW B-023,Active
440,AEBI,212,001,Lecture,3.000,"Evolution and Phylogeny.",TR,11:35 am-12:55 pm,114,0,0,0,"Jessica Paula Gillung",01/04-04/09,CENTEN 1-163,Active
Chemistry (Agric&EnvirSci)
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
437,AECH,111,001,Lecture,4.000,"General Chemistry 2.",MW,11:35 am-12:55 pm,125,0,0,0,"Alice D Cherestes",01/04-04/11,RAYMND 2-045,Active
,,,,,,,R,11:35 am-12:55 pm,,,,,"Alice D Cherestes",04/11-04/11,RAYMND 2-045,Active
438,AECH,111,002,Laboratory,0.000,"General Chemistry 2.",F,08:35 am-11:25 am,55,0,0,0,"Alice D Cherestes",01/04-04/12,MACSTW B-031,Active
439,AECH,111,003,Laboratory,0.000,"General Chemistry 2.",F,02:35 pm-05:25 pm,55,0,0,0,"Alice D Cherestes",01/04-04/12,MACSTW B-031,Active
441,AECH,111,004,Tutorial,0.000,"General Chemistry 2.",M,10:35 am-11:25 am,125,0,0,0,"Alice D Cherestes",01/04-04/12,RAYMND 2-045,Active
,,,,,,,R,10:35 am-11:25 am,,,,,"Alice D Cherestes",04/11-04/11,RAYMND 2-045,Active
470,AECH,119,001,Laboratory,1.000,"General Chemistry Laboratory 2.",,TBA,15,0,0,0,"Alice D Cherestes",01/04-04/12,MACSTW B-031,Active
English (Agric & Envir Sc)
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
445,AEHM,205,001,Lecture,3.000,"Science Literacy.",WF,08:35 am-09:55 am,96,0,0,0,"Emily  MacKenzie, Carole  Newman",01/04-04/12,CENTEN 1-163,Active
446,AEHM,205,002,Laboratory,0.000,"Science Literacy.",M,08:35 am-11:25 am,48,0,0,0,"Emily  MacKenzie, Carole  Newman",01/04-04/12,MACSTW 2-028,Active
,,,,,,,R,08:35 am-11:25 am,,,,,"Emily  MacKenzie, Carole  Newman",04/11-04/11,MACSTW 2-028,Active
492,AEHM,205,003,Break-Out Room,0.000,"Science Literacy.",M,08:35 am-11:25 am,30,0,0,0,"Emily  MacKenzie, Carole  Newman",01/04-04/12,RAYMND 4-046/048,Registration Not Required
,,,,,,,R,08:35 am-11:25 am,,,,,"Emily  MacKenzie, Carole  Newman",04/11-04/11,RAYMND 4-046/048,Registration Not Required
7251,AEHM,205,004,Laboratory,0.000,"Science Literacy.",F,01:05 pm-03:55 pm,48,0,0,0,"Emily  MacKenzie, Carole  Newman",01/04-04/12,MACSTW 2-028,Active
Mathematics (Agric&Envir Sci)
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
31,AEMA,102,001,Lecture,4.000,"Calculus 2.",TR,11:35 am-12:55 pm,190,0,0,0,"Fernando  Altamura",01/04-04/09,RAYMND 2-045,Active
188,AEMA,102,002,Conference,0.000,"Calculus 2.",F,01:05 pm-02:25 pm,70,0,0,0,"Fernando  Altamura",01/04-04/12,RAYMND 4-045,Active
1014,AEMA,102,003,Conference,0.000,"Calculus 2.",F,11:35 am-12:55 pm,70,0,0,0,"Fernando  Altamura",01/04-04/12,RAYMND 2-045,Active
308,AEMA,305,001,Lecture,3.000,"Differential Equations.",TR,11:35 am-12:55 pm,40,0,0,0,"David  Titley-Péloquin",01/04-04/09,CENTEN 1-162,Active
309,AEMA,305,002,Conference,0.000,"Differential Equations.",M,10:35 am-11:25 am,40,0,0,0,"David  Titley-Péloquin",01/04-04/12,RAYMND 1-042,Active
,,,,,,,R,10:35 am-11:25 am,,,,,"David  Titley-Péloquin",04/11-04/11,RAYMND 1-042,Active
32,AEMA,310,001,Lecture,3.000,"Statistical Methods 1.",TR,11:35 am-12:55 pm,135,0,0,0,"Jaskaran  Dhiman",01/04-04/09,RAYMND 2-046,Active
33,AEMA,310,002,Laboratory,0.000,"Statistical Methods 1.",W,04:05 pm-05:55 pm,34,0,0,0,"Jaskaran  Dhiman",01/04-04/12,MACSTW 2-028,Active
34,AEMA,310,003,Laboratory,0.000,"Statistical Methods 1.",T,08:35 am-10:25 am,34,0,0,0,"Jaskaran  Dhiman",01/04-04/12,MACSTW 2-028,Active
35,AEMA,310,004,Laboratory,0.000,"Statistical Methods 1.",M,01:35 pm-03:25 pm,34,0,0,0,"Jaskaran  Dhiman",01/04-04/12,MACSTW 2-028,Active
,,,,,,,R,01:35 pm-03:25 pm,,,,,"Jaskaran  Dhiman",04/11-04/11,MACSTW 2-028,Active
371,AEMA,310,005,Laboratory,0.000,"Statistical Methods 1.",F,03:35 pm-05:25 pm,33,0,0,0,"Jaskaran  Dhiman",01/04-04/12,MACSTW 2-028,Active
458,AEMA,403,001,Stage,3.000,"Environmetrics Stage.",,TBA,10,0,0,0,"Pierre R L  Dutilleul",01/04-04/12,TBA,Active
533,AEMA,411,001,Lecture,3.000,"Experimental Designs 01.",,TBA,10,0,0,0,"Pierre R L  Dutilleul, Kelly Ann  Bona",01/04-04/12,TBA,Cancelled
599,AEMA,414,001,Lecture,3.000,"Temporal and Spatial Statistics 01.",TR,08:35 am-09:55 am,9,0,0,0,"Pierre R L  Dutilleul",01/04-04/09,RAYMND 3-045,Active
534,AEMA,611,001,Lecture,3.000,"Experimental Designs 1.",,TBA,20,0,0,0,"Pierre R L  Dutilleul",01/04-04/12,TBA,Cancelled
535,AEMA,611,002,Conference,0.000,"Experimental Designs 1.",,TBA,20,0,0,0,"Pierre R L  Dutilleul",01/04-04/12,TBA,Cancelled
600,AEMA,614,001,Lecture,3.000,"Temporal and Spatial Statistics 1.",TR,08:35 am-09:55 am,15,0,0,0,"Pierre R L  Dutilleul",01/04-04/09,RAYMND 3-045,Active
Physics (Agric & Envir Sci)
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
97,AEPH,114,001,Lecture,4.000,"Introductory Physics 2.",MW,08:35 am-09:55 am,160,0,0,0,"David  Titley-Péloquin",01/04-04/11,RAYMND 2-045,Active
,,,,,,,R,08:35 am-09:55 am,,,,,"David  Titley-Péloquin",04/11-04/11,RAYMND 2-045,Active
98,AEPH,114,002,Laboratory,0.000,"Introductory Physics 2.",W,02:35 pm-04:25 pm,40,0,0,0,"David  Titley-Péloquin",01/04-04/12,CENTEN 1-150,Active
106,AEPH,114,003,Laboratory,0.000,"Introductory Physics 2.",W,04:35 pm-06:25 pm,40,0,0,0,"David  Titley-Péloquin",01/04-04/12,CENTEN 1-150,Active
452,AEPH,114,004,Laboratory,0.000,"Introductory Physics 2.",R,02:35 pm-04:25 pm,10,0,0,0,"David  Titley-Péloquin",01/04-04/10,CENTEN 1-150,Active
,,,,,,,R,02:35 pm-04:25 pm,,,,,"David  Titley-Péloquin",04/12-04/12,CENTEN 1-150,Active
420,AEPH,114,005,Tutorial,0.000,"Introductory Physics 2.",T,01:35 pm-02:25 pm,70,0,0,0,"David  Titley-Péloquin",01/04-04/12,CENTEN 1-150,Active
706,AEPH,114,006,Laboratory,0.000,"Introductory Physics 2.",R,04:35 pm-06:25 pm,40,0,0,0,"David  Titley-Péloquin",01/04-04/10,CENTEN 1-150,Active
,,,,,,,R,04:35 pm-06:25 pm,,,,,"David  Titley-Péloquin",04/12-04/12,CENTEN 1-150,Active
1013,AEPH,114,007,Tutorial,0.000,"Introductory Physics 2.",R,01:35 pm-02:25 pm,70,0,0,0,"David  Titley-Péloquin",01/04-04/10,CENTEN 1-150,Active
